# F3,F4,T3,T4,C1,C2
-85.882,-163.595,-223.256,-58.142,-58.902,-104.313
-83.032,-163.025,-224.206,-56.812,-61.182,-103.933
-85.312,-167.015,-223.636,-57.382,-67.642,-106.973
-91.393,-163.405,-225.726,-61.752,-70.302,-107.543
-91.583,-161.505,-233.327,-63.462,-70.302,-109.253
-94.243,-159.034,-231.807,-65.362,-74.102,-110.203
-87.972,-160.174,-226.676,-68.592,-75.432,-111.913
-89.113,-161.695,-220.786,-68.972,-73.722,-114.193
-88.162,-159.414,-224.396,-69.542,-67.262,-110.013
-88.732,-160.174,-228.576,-66.882,-70.492,-109.633
-87.022,-159.604,-228.766,-67.832,-72.582,-112.673
-83.032,-156.564,-234.087,-69.352,-74.862,-118.183
-84.552,-160.555,-235.607,-73.342,-77.522,-119.513
-86.452,-162.265,-228.956,-75.242,-78.472,-116.853
-88.732,-161.125,-228.386,-77.332,-79.802,-119.133
-83.222,-162.265,-226.676,-80.752,-80.942,-126.924
-82.462,-164.735,-227.056,-84.362,-81.132,-124.834
-87.782,-162.075,-230.286,-81.322,-77.712,-122.363
-84.932,-165.115,-231.807,-77.522,-77.712,-124.263
-81.132,-166.825,-231.236,-76.952,-81.322,-129.964
-81.702,-164.355,-231.807,-76.762,-82.272,-128.634
-83.222,-164.545,-234.657,-75.432,-78.092,-122.933
-82.272,-164.355,-226.106,-76.192,-74.292,-116.093
-83.982,-169.675,-211.666,-77.522,-71.632,-118.183
-84.742,-170.055,-213.946,-77.332,-68.972,-121.603
-86.832,-170.435,-221.356,-76.952,-68.212,-121.223
-88.923,-172.715,-221.736,-75.432,-70.302,-119.323
-86.452,-172.905,-224.016,-78.662,-73.912,-124.453
-84.362,-172.145,-232.377,-80.942,-77.902,-126.164
-88.542,-175.755,-229.336,-82.652,-76.002,-121.033
-91.393,-177.845,-228.386,-84.172,-75.622,-123.123
-91.013,-177.085,-225.726,-81.512,-76.192,-125.404
-88.542,-172.905,-226.296,-76.382,-70.492,-126.164
-88.352,-174.045,-227.436,-74.102,-68.212,-117.613
-90.063,-175.375,-229.336,-73.152,-70.302,-114.003
-88.352,-174.995,-225.916,-72.392,-69.542,-117.423
-88.162,-173.285,-222.686,-73.912,-68.212,-119.323
-91.393,-172.715,-222.876,-74.482,-67.642,-114.573
-91.963,-173.095,-224.396,-73.912,-72.012,-114.383
-88.923,-173.095,-218.696,-70.492,-72.392,-115.333
-85.312,-171.575,-214.896,-71.822,-72.772,-120.463
-91.013,-167.015,-220.026,-71.632,-73.722,-117.613
-94.813,-170.435,-229.336,-71.252,-71.632,-115.713
-97.283,-173.665,-227.816,-73.722,-70.492,-121.983
-99.563,-178.985,-232.377,-78.282,-76.382,-126.354
-101.083,-174.425,-236.937,-79.422,-80.562,-124.644
-104.693,-175.755,-241.117,-79.992,-80.562,-119.703
-106.973,-176.515,-238.837,-80.372,-81.322,-117.803
-108.303,-181.075,-231.807,-79.042,-83.032,-118.753
-105.453,-178.795,-232.187,-78.282,-78.852,-117.803
-104.123,-174.995,-238.647,-81.702,-74.862,-115.143
-105.263,-180.125,-246.627,-82.272,-76.572,-113.433
-108.113,-182.595,-247.197,-82.082,-79.992,-120.083
-108.873,-186.585,-245.677,-85.122,-79.992,-121.223
-111.723,-190.005,-252.707,-88.542,-83.982,-121.033
-110.963,-188.105,-256.697,-92.533,-82.652,-122.933
-110.393,-189.815,-249.667,-90.823,-80.942,-125.024
-108.873,-187.725,-246.247,-97.283,-81.702,-128.444
-111.343,-188.105,-251.377,-92.913,-84.172,-124.263
-111.533,-185.825,-252.137,-87.212,-84.742,-125.024
-107.353,-182.975,-253.657,-87.022,-80.942,-124.834
-104.693,-180.885,-254.037,-84.932,-80.752,-126.164
-109.443,-181.835,-253.467,-86.262,-79.422,-124.073
-109.633,-179.365,-250.807,-83.032,-81.132,-120.463
-100.703,-181.075,-250.997,-80.942,-81.132,-119.133
-98.043,-181.455,-251.567,-81.702,-79.612,-119.893
-98.233,-177.085,-247.387,-82.652,-80.182,-121.033
-97.663,-181.455,-245.867,-81.702,-79.232,-123.313
-102.033,-182.405,-248.907,-80.752,-78.852,-122.363
-107.733,-183.165,-248.907,-82.652,-77.142,-125.024
-110.203,-181.645,-246.247,-86.642,-76.762,-124.453
-108.493,-183.545,-244.347,-87.022,-76.762,-118.563
-112.293,-182.405,-248.527,-87.022,-74.482,-119.133
-113.623,-186.015,-250.807,-87.782,-76.762,-122.553
-113.053,-181.835,-251.757,-84.932,-77.142,-125.594
-111.153,-175.565,-250.617,-85.312,-78.472,-118.943
-110.773,-175.185,-248.147,-81.512,-76.952,-115.143
-112.673,-180.695,-252.327,-83.412,-78.852,-117.423
-111.153,-182.215,-255.557,-80.942,-79.232,-123.313
-111.343,-180.695,-259.167,-80.372,-81.132,-116.663
-114.003,-182.975,-258.217,-81.892,-80.752,-111.913
-111.913,-182.025,-256.697,-83.792,-79.042,-118.183
-115.713,-184.305,-253.847,-85.312,-80.752,-125.024
-114.573,-178.225,-257.647,-84.552,-79.042,-122.553
-109.823,-175.945,-262.587,-83.412,-80.752,-122.173
-110.773,-176.895,-252.897,-81.132,-79.422,-120.653
-112.863,-176.515,-242.067,-79.802,-77.332,-123.123
-112.673,-177.085,-241.117,-85.692,-74.672,-123.313
