F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
-0.1338798,-0.6622213,-0.3182159,-0.3542663,-0.4135055,0.7879907,-0.3096062,1.3446038,1.0401484,-0.0623590,0.8865515,0.3563499,0.9432636,1.1033329,0.0965087,0.9828159,0.8388634,0.2779754,0.2067491,0.1975417,0.2350476
-0.2681851,-0.8580076,-0.3615775,-0.3443228,-0.3077083,0.7442166,-0.0292376,1.3779789,0.3182889,-0.2372218,0.9403127,-0.4222873,0.9659775,0.8723331,-0.4713597,0.9011165,0.9797791,0.2339151,0.2689084,0.4327827,0.0222788
-0.4539556,-1.0311376,-0.4447118,-0.2923852,0.2314129,1.0750034,0.0837950,1.2684481,0.4553684,-0.7791432,1.1372932,0.0397772,1.2222338,0.4838997,-0.7962127,0.9189122,1.2165807,0.0627069,0.0833766,0.6470175,-0.1240567
-0.5489748,-1.2350955,0.3268536,-0.0918724,0.2250425,1.2824210,0.0978643,1.3072631,0.6310463,-0.5916085,1.0538322,1.0421188,1.2949047,0.5073798,-0.3232318,1.1386920,0.9574738,0.0050959,0.3556422,0.3937122,0.0894392
-0.3599208,-0.8529487,0.1315052,0.3428283,0.8906487,0.7761671,-0.1446985,1.4361945,0.8422091,-0.9718236,1.1366912,0.1888211,1.1401706,0.5545554,-0.6515530,0.8007448,0.7648137,-0.0608207,0.3016985,0.4507357,-0.0030769
0.2634759,-0.9997816,-0.4944794,0.4891700,0.3520909,1.3982468,-0.3562662,1.4073192,0.7126268,-0.5459921,1.1410469,-0.2020643,1.4976687,0.7063646,-0.1339429,0.7659371,0.7611944,0.1598603,0.4646271,0.3338277,0.1369932
0.3855439,-1.1707946,0.0442301,0.2212723,-0.0001378,0.8971074,0.0568854,1.2666761,0.8373189,-0.7446741,0.8931628,0.1380286,1.1617606,0.9335375,-0.3423908,0.7212645,0.6414238,0.4295486,0.0580370,0.3560694,0.5541414
0.4058822,-1.3626959,0.0458266,-0.1384310,-0.1276519,1.0243033,0.3261987,1.4724000,0.2693256,-0.7095675,0.6768932,-0.6100553,1.1783929,1.0848576,-1.1281354,0.3698937,0.3992983,0.6598355,-0.0691899,0.1530124,0.6499351
0.4774965,-1.1017339,0.0048452,-0.1615760,-0.4885104,0.9907724,0.5522724,1.5260712,0.6898783,-0.7458099,0.7897087,-0.7496858,1.3525140,0.9339561,-0.8626052,1.0388765,0.6281527,1.0185488,0.1194380,0.2926830,0.9273748
-0.0707276,-1.0517752,0.3221420,0.3204048,-0.0112329,0.7125491,0.5733718,1.5165840,1.2596239,-0.5482991,0.9385970,0.1696016,1.7466841,1.1377095,-0.0295780,1.3462932,0.8669204,1.1829596,0.1317212,0.7431172,0.8268023
-0.3393518,-0.6821116,1.0418833,0.0754801,-1.1116321,1.3478348,0.9786430,1.5557792,1.0253609,-0.9012825,0.8425390,0.4653183,1.8097830,1.3505188,-0.3869495,1.1378736,0.7243013,1.1592458,0.2166688,0.4862733,1.1199691
0.1172278,-0.2394225,1.1356426,0.4419675,-0.6769972,1.5241721,0.6757343,1.4842577,0.4477889,-1.6610423,0.8066682,-0.1831525,1.7399656,1.2541739,-0.0287253,1.3110985,0.6563333,0.7845048,0.2713341,0.9091603,1.3159072
0.2361795,-0.2963823,0.3359451,0.3120299,-0.7260987,1.1009246,0.3459249,1.4466976,0.4928014,-0.8761961,1.1137073,-0.1240883,1.6212149,0.9227201,-0.5493898,0.9002366,0.9840240,0.3502011,-0.1080520,0.8540154,1.2152089
0.1299624,-1.0817069,0.3717158,0.6280671,0.0251802,0.7859521,0.6689020,1.2322593,0.6602119,-0.7241354,0.9533510,0.9636407,1.7243167,0.9908046,0.0910706,1.1035424,0.7123742,0.5632693,0.0785159,0.7769575,1.1935101
0.6573877,-0.5442864,-0.2017066,0.9117550,0.1391116,1.2757893,0.6462929,1.7025924,1.6222918,-0.6518797,0.8506968,0.3579464,1.4033154,1.0979912,0.4529615,1.4873273,0.7449047,0.9909804,0.2780294,0.8208846,1.0914192
1.2189938,0.3217898,0.3774238,0.7010854,0.2707763,1.4733256,0.4592926,1.9920328,2.3130882,0.2216068,0.7960801,0.1069172,1.5097018,1.0582412,0.4301094,1.2850777,0.6981037,0.5850214,0.5420752,0.8477097,0.7781221
0.7709634,-0.0148278,-0.4121274,-0.2285185,0.1544356,1.1787641,-0.0460811,1.9153504,1.5155342,0.3149487,0.7321247,0.7133011,1.0022327,0.7118087,-0.0994124,1.4331751,0.2986463,0.3964874,0.0405231,0.2294033,0.4840201
0.7102945,-0.2771888,-0.8038723,0.3553005,0.7570855,0.7818134,-0.0876270,1.7356538,1.2544160,-0.3078196,0.7495971,0.3266128,0.9012442,0.5140907,0.8292590,1.6572760,0.3676457,0.4072452,0.6492314,0.4724756,0.8831156
1.1280090,-0.2123006,-0.4416097,1.1769178,0.8852485,0.9870427,0.1403094,1.6362611,1.2031589,-0.5856165,0.9376528,-0.7367243,1.0686455,0.7241492,1.0211129,1.8047283,0.8532100,0.6355942,0.8511937,0.5061983,1.1835463
0.7542280,-0.1428233,0.5053792,0.9082181,0.0709692,1.2817807,0.0020784,1.5827305,1.5358605,-0.1174359,0.9810486,0.1580714,1.0517676,0.8899170,0.6119703,1.4690313,0.9549317,0.5193659,0.5316169,0.7901554,0.7720676
0.8011318,-0.1882599,0.4381427,0.9341748,0.0198198,0.9347858,0.2114739,1.6791296,1.4728302,-0.3097588,0.9453028,0.4401393,0.6901835,0.8309524,0.7094168,0.6190826,0.9589048,0.4004783,0.4579936,0.5667578,0.7713744
1.0762250,-0.5861914,0.0074127,0.9214340,0.4936306,0.6867176,0.3352292,1.8160558,1.3970380,-0.2678559,0.8186243,-0.3379363,0.5498689,0.6638786,0.5940357,1.2137450,0.8757420,0.6418810,0.6618570,0.2265025,0.6725827
0.9202529,-0.4685188,-0.6066794,1.2133609,0.7483847,0.5252351,0.3562999,1.8444880,1.4207759,0.1436315,0.7633940,-0.1402529,0.5217395,0.5693324,0.9512730,1.1943988,0.3894345,0.3499605,0.3491341,0.0761172,0.5163158
0.4397312,-0.7133802,-0.2354614,0.8092852,-0.1863684,0.4946654,0.2081200,1.6610578,1.4177815,-0.6366434,0.6585862,0.1793651,0.7673398,0.4340667,0.6063688,0.8137338,-0.0694418,0.3403558,0.3220421,0.1902413,0.4428172
0.8499720,-0.3909148,0.3107776,1.4310825,0.2765179,0.4694983,0.1592637,1.9045258,1.3573408,-0.7727086,0.7484450,-0.8788281,0.5170434,0.6839888,0.6965316,1.4988393,0.0512117,0.5983607,0.5148500,0.4679049,0.3688225
1.2169472,-0.0615323,0.4085134,1.7885340,0.4779995,0.7499082,0.3281554,2.4591775,2.1711152,-0.0743307,0.8077146,-1.0449198,0.7739583,0.6465445,1.7715824,2.1133239,0.7537388,0.5415947,0.9931324,0.6005655,0.6359967
0.8308020,-0.2602183,0.4455762,0.6933407,-0.5949707,0.9580820,0.7093115,2.3108432,2.1281791,0.0656946,0.7706106,-0.0854168,0.6708932,0.6316140,1.2999529,1.8546920,0.4019903,0.2106122,1.0473161,0.9047143,0.7153977
0.5693181,0.2681295,0.2648406,0.5327913,-0.5233371,0.5115264,0.0367843,1.7673078,1.2614940,-1.3921783,0.6672649,-0.6121912,-0.0544282,0.6712598,0.3205312,1.0560662,-0.0591146,-0.0943808,0.2802224,0.6229988,0.4028770
