F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
0.1009422,0.6979381,0.4034671,0.2427236,0.2623291,0.6098205,0.2852049,-1.0488678,0.5660820,0.1580379,0.5068308,0.4827824,0.2724189,0.4458731,-0.1291876,0.6284805,0.3883505,0.1076132,0.2431093,0.4534523,-0.3546102
-0.0277214,0.7029635,0.0568483,0.2657707,-0.3240702,0.0654331,-0.0255383,-1.2282461,0.5483366,0.2969325,0.4696768,0.1612760,0.0691623,0.3508407,-0.4436962,0.3843538,0.1350278,0.2865910,0.0427136,0.3301233,-0.4678782
-0.1061354,0.6702753,-0.1145062,0.3338779,-0.6186022,-0.1058124,-0.1651472,-1.1509401,0.0190894,-0.1537530,0.3957152,-0.4226413,-0.2457084,0.0358358,-0.2699450,0.2898944,0.1004448,-0.1066974,-0.3179532,0.1273174,-0.4661807
0.0100030,0.6559475,-0.0186174,0.4310709,-0.1599285,0.6542427,-0.0932941,-1.1488475,-0.0462743,-0.3172917,0.2784719,-0.1058875,-0.1645254,0.0238356,-0.1519308,0.3872408,0.0234107,-0.0202524,-0.2808955,0.0633479,-0.3887163
0.0576796,0.5641401,0.2458329,0.4124641,-0.2119174,0.7492517,0.1633921,-1.1421187,0.2432159,-0.0677456,0.2569841,0.0566183,0.2272485,0.2846431,-0.2773826,0.2597906,0.0535461,0.3136923,0.0280826,0.0023852,-0.3812111
0.1141291,0.8300214,0.7072070,0.5761956,-0.1735708,0.9152638,0.2540581,-1.2261184,0.1030303,-0.2234020,0.0630039,0.1072934,0.4445154,0.3957332,0.2107051,0.4690496,0.1653326,0.6147740,0.4219566,0.2781760,-0.1459287
0.2206778,0.9925397,0.6989439,0.8344263,-0.0422770,1.1229672,0.3847999,-1.1713669,0.5535479,0.2048495,0.2609411,-0.0540509,0.6074789,0.4937392,0.4871014,0.5551292,0.3942176,0.5695402,0.5879160,0.5294367,-0.0444692
0.2005694,0.6946143,0.4425752,0.7934875,-0.3757352,1.1970534,0.4215476,-1.0412179,0.5860081,0.3615147,0.1436630,0.4695944,0.4658609,0.7094244,0.5615938,0.3507113,0.3444794,0.5411745,0.7934405,0.4565421,-0.1352959
0.0208065,0.6919323,0.3612044,0.6400329,-0.5573369,1.0620255,0.3283294,-1.1007444,0.2769192,-0.4065470,0.1841175,0.3334917,0.3186008,0.6678835,0.3313814,0.0132604,0.0581318,0.4716859,0.6597632,0.1947132,-0.2430833
-0.0759853,0.8680235,0.5516100,0.4275848,-0.5073311,1.0200109,0.1896253,-1.1794056,-0.1053321,-0.3030504,0.1426409,0.0307944,0.2350592,0.6321817,0.3228892,-0.2822384,0.0520016,0.2871924,0.3118074,0.0230168,-0.4282734
