# F3,F4,T3,T4,C1,C2
-116.853,-179.365,-254.037,-88.352,-85.502,-122.933
-116.473,-183.165,-257.647,-86.452,-86.832,-119.703
-115.523,-187.725,-255.557,-86.642,-88.542,-115.523
-112.863,-183.545,-251.187,-85.502,-85.692,-115.713
-110.773,-182.405,-253.657,-85.882,-84.362,-116.853
-108.303,-176.515,-256.127,-88.352,-88.162,-117.043
-112.863,-178.225,-257.077,-87.972,-89.303,-114.763
-117.233,-178.225,-256.697,-90.253,-88.162,-116.283
-116.093,-178.415,-258.217,-88.352,-89.113,-124.073
-114.573,-178.415,-256.507,-86.642,-90.443,-119.133
-116.283,-176.325,-260.307,-86.452,-87.402,-115.333
-114.953,-174.045,-256.887,-84.362,-88.162,-117.993
-114.573,-174.045,-253.657,-86.452,-92.153,-121.223
-111.343,-177.465,-256.697,-86.262,-95.193,-123.123
-112.483,-177.275,-258.407,-87.212,-95.193,-120.653
-117.423,-175.375,-258.597,-88.352,-94.053,-118.753
-115.713,-170.055,-257.837,-88.923,-92.913,-121.223
-113.623,-169.865,-258.597,-84.742,-92.153,-120.843
-113.053,-171.385,-260.497,-84.552,-92.153,-122.743
-112.863,-173.855,-260.117,-86.072,-92.343,-122.363
-114.193,-172.905,-258.977,-94.053,-95.573,-130.914
-119.893,-178.605,-260.687,-96.333,-98.613,-132.814
-123.503,-178.795,-264.297,-95.573,-97.473,-126.354
-119.703,-179.745,-265.057,-92.343,-98.233,-123.503
-117.993,-180.885,-260.497,-90.063,-100.703,-126.734
-111.913,-181.835,-254.037,-88.923,-95.573,-125.404
-109.823,-179.935,-248.717,-87.592,-94.053,-125.404
-113.623,-179.555,-247.577,-84.172,-91.773,-125.024
-117.993,-175.375,-254.037,-84.362,-92.913,-122.173
-115.903,-177.845,-256.317,-89.113,-94.053,-126.164
-116.663,-178.225,-252.517,-91.203,-92.913,-128.444
-113.813,-175.945,-248.717,-88.542,-90.063,-120.273
-112.103,-180.505,-247.197,-87.402,-88.162,-120.463
-108.683,-182.595,-246.057,-83.602,-87.782,-124.834
-106.783,-179.935,-245.677,-88.732,-88.352,-126.734
-105.263,-177.275,-242.827,-87.972,-91.013,-128.064
-108.303,-175.945,-241.117,-87.212,-87.592,-125.974
-112.483,-177.275,-239.787,-86.262,-88.732,-129.964
-114.383,-172.525,-242.447,-84.172,-90.253,-129.204
-126.544,-176.325,-253.467,-81.512,-93.293,-119.703
-123.883,-180.505,-254.037,-84.932,-92.723,-114.953
-113.053,-179.555,-243.017,-83.982,-91.013,-122.743
-111.533,-179.365,-242.447,-86.832,-89.113,-131.104
-103.743,-184.115,-246.247,-92.913,-91.963,-128.444
-97.283,-182.785,-244.347,-98.233,-92.723,-134.524
-101.653,-185.635,-240.547,-98.233,-90.823,-135.284
-91.393,-186.205,-234.657,-97.093,-90.823,-134.144
-83.792,-183.545,-232.377,-96.333,-87.592,-130.344
-86.262,-180.695,-227.816,-89.683,-87.782,-124.263
-87.022,-182.975,-224.586,-87.592,-89.683,-124.073
-92.913,-179.935,-220.026,-90.253,-89.303,-126.924
-93.103,-180.505,-220.216,-86.262,-88.162,-127.874
-93.483,-183.355,-228.386,-83.412,-87.022,-122.363
-96.523,-184.875,-233.137,-90.063,-88.923,-127.304
-92.343,-186.015,-234.087,-90.253,-86.072,-129.774
-93.863,-184.305,-230.476,-83.412,-84.552,-129.964
-95.763,-184.305,-230.666,-83.032,-83.792,-125.214
-94.813,-186.015,-229.906,-84.172,-85.122,-125.024
-93.863,-183.735,-225.726,-85.122,-85.692,-128.634
-95.003,-185.825,-226.486,-86.072,-87.212,-129.204
-96.523,-186.015,-235.607,-88.732,-87.782,-125.974
-103.553,-190.195,-238.837,-92.153,-88.732,-125.974
-102.413,-188.485,-237.887,-90.633,-86.642,-133.384
-99.563,-189.055,-239.407,-90.063,-83.982,-131.294
-99.753,-186.015,-242.067,-88.542,-85.502,-125.214
-96.713,-186.205,-243.207,-84.932,-84.552,-123.883
-99.563,-187.915,-241.307,-86.642,-81.512,-125.974
-100.513,-186.965,-235.417,-89.683,-81.512,-127.304
-101.463,-185.255,-235.797,-86.452,-80.752,-124.644
-100.893,-186.395,-235.987,-84.172,-82.652,-125.404
-95.953,-187.345,-233.327,-82.462,-82.272,-126.164
-101.273,-189.815,-230.856,-86.262,-81.322,-127.304
-98.803,-186.015,-231.617,-86.832,-82.842,-122.743
-100.703,-182.785,-231.426,-84.362,-83.412,-119.893
-98.613,-182.975,-234.277,-79.422,-86.072,-124.453
-97.283,-184.685,-233.897,-81.322,-86.832,-129.204
-100.703,-184.495,-237.507,-84.362,-83.982,-127.874
-103.553,-188.295,-240.547,-89.113,-87.022,-125.024
-100.323,-186.395,-242.447,-91.393,-85.122,-130.534
-99.563,-184.115,-241.307,-88.923,-86.452,-132.434
-101.273,-185.445,-244.727,-85.122,-89.493,-129.204
-107.163,-188.675,-250.427,-88.352,-91.393,-128.824
-110.013,-189.055,-250.047,-90.443,-93.103,-128.634
-103.933,-187.155,-245.867,-91.773,-93.673,-128.254
-104.693,-186.205,-241.877,-92.913,-93.103,-129.774
-111.533,-188.865,-246.057,-94.813,-94.433,-128.064
-110.013,-189.815,-252.327,-93.483,-91.393,-130.154
-107.733,-190.195,-250.807,-93.673,-91.583,-134.334
-108.493,-187.535,-248.907,-92.533,-90.823,-131.294
-104.693,-186.395,-249.097,-89.493,-92.723,-132.244
-102.603,-186.585,-242.827,-83.222,-94.813,-128.444
-99.943,-183.165,-236.557,-80.562,-95.383,-131.104
-102.413,-186.395,-237.127,-82.272,-97.283,-137.184
-107.733,-186.395,-240.927,-83.602,-98.423,-132.244
-106.593,-180.315,-243.207,-84.362,-95.573,-124.453
-104.693,-182.215,-243.777,-84.552,-93.673,-123.123
-107.733,-180.315,-240.927,-85.692,-93.483,-124.834
-111.153,-183.925,-239.217,-87.402,-95.003,-122.743
-106.783,-183.735,-239.977,-87.022,-95.953,-124.073
-106.403,-181.835,-240.357,-86.832,-97.663,-125.784
-108.873,-184.875,-242.827,-89.113,-96.143,-127.684
-102.793,-185.255,-243.777,-86.262,-94.243,-126.544
-101.653,-183.165,-242.827,-86.072,-95.573,-123.693
-102.223,-187.535,-243.017,-88.732,-92.723,-123.883
-103.933,-185.255,-241.117,-87.022,-93.293,-125.214
-105.833,-185.445,-238.077,-86.642,-91.013,-121.413
-107.163,-181.835,-239.597,-86.832,-91.963,-121.603
-106.973,-181.265,-239.977,-88.732,-89.303,-125.784
-106.213,-183.165,-239.597,-92.533,-91.013,-130.724
-106.213,-185.825,-240.357,-94.433,-91.393,-128.634
-103.553,-186.205,-240.927,-88.923,-90.443,-121.033
-105.833,-181.265,-240.927,-88.923,-90.823,-119.323
-105.643,-178.605,-240.167,-85.692,-88.352,-124.073
-102.983,-177.655,-238.457,-86.452,-88.923,-127.114
-102.413,-177.655,-236.367,-82.462,-86.072,-119.893
-97.093,-178.035,-233.517,-79.802,-84.742,-121.793
-93.673,-176.705,-227.056,-76.382,-87.022,-126.924
-94.053,-174.425,-225.536,-76.762,-89.113,-128.254
-97.473,-172.905,-228.196,-77.712,-93.863,-119.893
-96.713,-174.805,-226.866,-81.322,-94.813,-120.653
-95.383,-175.375,-222.116,-82.652,-93.103,-125.214
-99.753,-174.615,-220.786,-79.042,-92.533,-125.784
-99.563,-173.665,-219.836,-83.222,-91.773,-121.793
-99.943,-173.665,-223.636,-85.312,-91.583,-121.033
-98.423,-176.895,-227.816,-83.602,-92.913,-120.843
-98.043,-178.035,-224.966,-82.652,-91.773,-123.883
-96.143,-177.465,-225.916,-79.992,-87.972,-120.463
-91.393,-176.515,-221.926,-74.102,-88.352,-112.863
-91.393,-175.565,-216.796,-73.912,-85.502,-112.483
-94.813,-170.245,-214.326,-76.952,-83.222,-113.053
-94.243,-168.725,-214.706,-78.662,-85.122,-110.013
-98.233,-172.145,-216.226,-79.042,-86.832,-107.733
-104.503,-175.375,-223.826,-80.182,-88.352,-112.293
-106.023,-179.935,-233.707,-83.222,-91.203,-115.903
-111.153,-178.795,-239.597,-85.122,-91.583,-115.523
-114.953,-178.795,-245.107,-83.412,-89.303,-113.433
-112.293,-178.985,-247.957,-82.082,-91.583,-114.003
-110.013,-182.405,-245.867,-84.742,-98.423,-115.713
-110.963,-183.735,-249.097,-87.782,-96.713,-120.653
-110.963,-181.075,-249.477,-89.303,-96.713,-117.613
-111.343,-176.705,-246.247,-87.972,-98.233,-118.753
-107.733,-179.935,-243.967,-85.882,-97.853,-124.834
-106.023,-182.975,-241.117,-85.312,-96.713,-126.734
-111.153,-184.495,-240.927,-87.972,-97.663,-125.214
-108.873,-182.785,-241.687,-91.013,-96.143,-120.843
-105.453,-184.495,-238.837,-91.773,-97.473,-123.883
-105.643,-188.485,-238.457,-96.713,-97.093,-129.584
-112.103,-193.425,-240.547,-101.843,-94.813,-124.073
-111.343,-182.785,-238.077,-94.053,-91.583,-118.373
-103.173,-175.375,-232.947,-84.362,-93.673,-120.843
-100.133,-175.755,-231.617,-84.172,-93.483,-122.363
-103.173,-176.515,-236.557,-83.412,-97.093,-120.843
-109.823,-175.755,-239.217,-83.602,-97.473,-117.423
-116.853,-178.225,-236.937,-84.362,-96.333,-116.473
-114.953,-169.865,-235.797,-82.462,-94.623,-120.653
-112.673,-166.635,-239.597,-78.472,-94.243,-116.473
-116.853,-168.345,-249.667,-74.672,-91.013,-115.713
-117.233,-166.255,-249.477,-73.912,-92.533,-115.333
-116.473,-169.105,-248.717,-77.332,-96.523,-116.473
-114.953,-165.875,-249.857,-77.332,-96.143,-119.893
-115.523,-167.585,-252.327,-80.372,-96.143,-121.793
-116.093,-165.875,-253.087,-83.032,-96.333,-120.843
-114.763,-171.195,-248.907,-81.892,-96.903,-119.893
